"provincia_id","provincia_nombre","pais_origen","sexo","edad_quinquenal","cantidad"
94,"TIERRA DEL FUEGO","Otro país","MUJER","80 a 84",6
94,"TIERRA DEL FUEGO","Otro país","MUJER","85 a 89",3
94,"TIERRA DEL FUEGO","Otro país","MUJER","90 a 94",2
94,"TIERRA DEL FUEGO","Otro país","MUJER","95 y más",2
94,"TIERRA DEL FUEGO","Otro país","VARON","0 a 4",2
94,"TIERRA DEL FUEGO","Otro país","VARON","5 a 9",15
94,"TIERRA DEL FUEGO","Otro país","VARON","10 a 14",20
94,"TIERRA DEL FUEGO","Otro país","VARON","15 a 19",50
94,"TIERRA DEL FUEGO","Otro país","VARON","20 a 24",49
94,"TIERRA DEL FUEGO","Otro país","VARON","25 a 29",64
94,"TIERRA DEL FUEGO","Otro país","VARON","30 a 34",66
94,"TIERRA DEL FUEGO","Otro país","VARON","35 a 39",84
94,"TIERRA DEL FUEGO","Otro país","VARON","40 a 44",75
94,"TIERRA DEL FUEGO","Otro país","VARON","45 a 49",68
94,"TIERRA DEL FUEGO","Otro país","VARON","50 a 54",58
94,"TIERRA DEL FUEGO","Otro país","VARON","55 a 59",46
94,"TIERRA DEL FUEGO","Otro país","VARON","60 a 64",29
94,"TIERRA DEL FUEGO","Otro país","VARON","65 a 69",21
94,"TIERRA DEL FUEGO","Otro país","VARON","70 a 74",11
94,"TIERRA DEL FUEGO","Otro país","VARON","75 a 79",10
94,"TIERRA DEL FUEGO","Otro país","VARON","80 a 84",2
94,"TIERRA DEL FUEGO","Otro país","VARON","85 a 89",1
94,"TIERRA DEL FUEGO","Otro país","VARON","90 a 94",1
94,"TIERRA DEL FUEGO","Otro país","X","30 a 34",1
90,"TUCUMAN","Otro país","MUJER","0 a 4",17
90,"TUCUMAN","Otro país","MUJER","5 a 9",22
90,"TUCUMAN","Otro país","MUJER","10 a 14",52
90,"TUCUMAN","Otro país","MUJER","15 a 19",55
90,"TUCUMAN","Otro país","MUJER","20 a 24",64
90,"TUCUMAN","Otro país","MUJER","25 a 29",54
90,"TUCUMAN","Otro país","MUJER","30 a 34",74
90,"TUCUMAN","Otro país","MUJER","35 a 39",86
90,"TUCUMAN","Otro país","MUJER","40 a 44",63
90,"TUCUMAN","Otro país","MUJER","45 a 49",58
90,"TUCUMAN","Otro país","MUJER","50 a 54",66
90,"TUCUMAN","Otro país","MUJER","55 a 59",48
90,"TUCUMAN","Otro país","MUJER","60 a 64",39
90,"TUCUMAN","Otro país","MUJER","65 a 69",29
