,Country Code,Year,Ingresos,Electricidad,Contaminación,Crecimiento PBI,Crecimiento PBI per cápita,Desempleo Hombre,Desempleo mujeres,Gasto PBI,Importaciones,Migracion neta,Desempleados con educación avanzada,Tasa de cambio,Pobreza,Mortalidad
211,SLV,1960,,,,,,,,,123000000.0,-4888.0,,2.5000000015,,17.996
212,SMR,1960,,,,,,,,,,218.0,,,,
213,SOM,1960,,,,,,,,,,750.0,,7.14286000614286,,21.131
214,SRB,1960,,,,,,,,,,-10246.0,,,,8.828
215,SSA,1960,,,,,,,,,5617690537.606363,-91717.0,,,,23.24166993675833
216,SSD,1960,,,,,,,,,,0.0,,,,36.098
217,SSF,1960,,,,,,,,,5619373354.957784,-91696.0,,,,23.241669936758328
218,SST,1960,,,,,,,,,1825702189.9735315,-59171.0,,,,14.88811820775766
219,STP,1960,,,,,,,,,5000000.0,-1158.0,,0.02875000002875,,22.169
220,SUR,1960,,,,,,,,,54000000.0,545.0,,0.001885,,12.051
221,SVK,1960,,,,,,,,,,3717.0,,,,7.8
222,SVN,1960,,,,,,,,,,3108.0,,,,9.6
223,SWE,1960,,,,,,,,,2901000000.0,14792.0,,5.17321000417321,,10.0
224,SWZ,1960,,,,,,,,,17000000.0,-2082.0,,0.714285999714286,,18.871
225,SXM,1960,,,,,,,,,,177.0,,,,11.005
226,SYC,1960,,,,,,,,,2000000.0,21.0,,4.76189475297145,,
227,SYR,1960,,,,,,,,,239000000.0,0.0,,3.579999999,,16.314
228,TCA,1960,,,,,,,,,,-114.0,,,,15.065
229,TCD,1960,,,,,,,,,25000000.0,-687.0,,245.195101398359,,26.335
230,TEA,1960,,,,,,,,,6104355525.558924,-211579.0,,,,23.0646846225763
231,TEC,1960,,,,,,,,,,-44908.0,,,,9.47537669250897
232,TGO,1960,,,,,,,,,26000000.0,-13868.0,,245.195101398359,,22.426
233,THA,1960,,,,,,,,,454000000.0,6910.0,,21.1817735336747,,14.737
234,TJK,1960,,,,,,,,,,2464.0,,,,16.625
235,TKM,1960,,,,,,,,,,5730.0,,,,17.041
236,TLA,1960,,,,,,,,,8514999999.999997,-184590.0,,,,13.528153175865668
237,TLS,1960,,,,,,,,,,0.0,,1.0,,30.571
238,TMN,1960,,,,,,,,,4316999999.999999,-104776.0,,,,21.88045155230844
239,TON,1960,,,,,,,,,4000000.0,-342.0,,0.892856999892857,,10.716
240,TSA,1960,,,,,,,,,4306770834.160468,44061.0,,,,20.0129976479065
241,TSS,1960,,,,,,,,,5619373354.957784,-91696.0,,,,23.24166993675833
242,TTO,1960,,,,,,,,,294000000.0,-5671.0,,1.71429000071429,,8.037
243,TUN,1960,,,,,,,,,191000000.0,-66870.0,,0.41999999942,,21.537
244,TUR,1960,,,,,,,,,468000000.0,-15052.0,,9.01691666658333e-06,,17.766
245,TUV,1960,,,,,,,,,,-58.0,,,,19.042
246,TZA,1960,,,,,,,,,111000000.0,1953.0,,7.14286000614286,,20.985
247,UGA,1960,,,,,,,,,91000000.0,-7586.0,,0.07143000007143,,19.285
248,UKR,1960,,,,,,,,,,55633.0,,,,7.512
249,UMC,1960,,,,,,,,,16660923298.09187,-314258.0,,,,19.856542206194323
250,URY,1960,,,,,,,,,218000000.0,2060.0,,1.12966666666667e-05,,9.727
251,USA,1960,,,,,,5.4,,,16371000000.0,583458.0,,1.0,,9.5
252,UZB,1960,,,,,,,,,,22033.0,,,,14.995
253,VCT,1960,,,,,,,,,8000000.0,-1428.0,,1.71429000071429,,14.492
254,VEN,1960,,,,,,,,,1188000000.0,8369.0,,0.00334958333233333,,9.938
255,VGB,1960,,,,,,,,,,-88.0,,,,12.523
256,VIR,1960,,,,,,,,,,1043.0,,,,10.0
257,VNM,1960,,,,,,,,,240000000.0,0.0,,,,11.467
258,VUT,1960,,,,,,,,,7000000.0,0.0,,89.765000088765,,16.655
259,WLD,1960,,,,,,,,,129523045297.12018,0.0,,,,17.23421948647235
260,WSM,1960,,,,,,,,,7000000.0,-477.0,,0.71428999971429,,12.747
261,XKX,1960,,,,,,,,,,-6603.0,,,,10.631
262,YEM,1960,,,,,,,,,16000000.0,-17145.0,,,,33.038
263,ZAF,1960,,,,,,,,,1629000000.0,18909.0,,0.714285999714286,,14.073
264,ZMB,1960,,,,,,,,,210000000.0,-3894.0,,0.714285999714286,,17.285
265,ZWE,1960,,,,,,,,,252000000.0,-8256.0,,0.000714286000714286,,14.221
266,ABW,1961,,,,,,,,,,-569.0,,,,6.456
267,AFE,1961,,,,0.25487926002961103,-2.342973540000955,,,,3608729973.256685,-1348.0,,,,20.68140370841231
268,AFG,1961,,,,,,,,,99000000.0,6109.0,,17.1965606878624,,31.349
269,AFW,1961,,,,1.8548716844760236,-0.25551135174792705,,,,2080999999.999999,-41547.0,,,,26.09376934117505
270,AGO,1961,,,,,,,,,114000000.0,-49186.0,,2.873486e-08,,27.483
271,ALB,1961,,,,,,,,,72000000.0,15424.0,,,,15.735
272,AND,1961,,,,,,,,,,653.0,,,,
273,ARB,1961,,,,,,,,,4878853952.607433,-176004.0,,,,20.59556360289125
274,ARE,1961,,,,,,,,,170000000.0,4081.0,,,,14.963
275,ARG,1961,,,,5.42784287621933,3.7409028140110934,,,,1460000000.0,29321.0,,,,8.724
276,ARM,1961,,,,,,,,,,13657.0,,,,11.715
277,ASM,1961,,,,,,,,,4000000.0,-93.0,,,,
